count,likes_component,mean_comments_component,influence,scores_component,mean_likes,mean_comments
1,0.0416580086,0.0,10.6900592601,0.1064840125,3.0,1.0
1,0.217751902,0.0089374379,10.580174083,0.1035348474,226.0,10.0
1,0.0471228723,0.0089374379,8.0269536666,0.0797089336,10.0,10.0
1,0.067480384,0.005958292,9.8166524082,0.0974321373,36.0,7.0
1,0.0957865797,0.0009930487,7.9439006027,0.0784712097,72.0,2.0
1,0.0635590213,0.0009930487,7.7486138575,0.0768406179,31.0,2.0
1,0.0918484279,0.0039721946,10.130250542,0.1003442992,67.0,5.0
1,0.0424382259,0.0009930487,10.0464434195,0.1000301214,4.0,2.0
1,0.0408779567,0.0,17.143657827,0.1710277987,2.0,1.0
1,0.109979171,0.0089374379,7.9071503666,0.0778823376,90.0,10.0
1,0.1867705102,0.0089374379,8.0260726223,0.0783036467,187.0,10.0
1,0.2018579129,0.0079443893,10.3120846217,0.1010228232,206.0,9.0
1,0.178041454,0.0139026812,9.6608992465,0.0946895511,176.0,15.0
1,0.0432186062,0.0019860973,9.9058258823,0.0986062118,5.0,3.0
1,0.0479041833,0.0009930487,7.7285594931,0.0767966226,11.0,2.0
1,0.4459714458,0.0079443893,7.5222891163,0.0706837328,512.0,9.0
6,0.0,0.0024826216,9.8217672926,0.0981928467,9.3333333333,3.5
1,0.0549423997,0.005958292,7.796206911,0.0773530622,20.0,7.0
1,0.2066248166,0.0089374379,100.2155622546,1.0,212.0,10.0
1,0.0572908986,0.0009930487,8.4639534543,0.0840566951,23.0,2.0
1,0.1812151454,0.0089374379,10.7893262339,0.1059917365,180.0,10.0
1,0.0400980726,0.002979146,8.2066105488,0.0816353333,1.0,4.0
1,0.1962979882,0.0089374379,8.5463418591,0.0834110643,199.0,10.0
1,0.0393183588,0.0019860973,8.6993052087,0.0865800075,0.0,3.0
1,0.0393183588,0.0089374379,8.665381315,0.0861712552,0.0,10.0
1,0.0918484279,0.0039721946,7.4750081443,0.0737918752,67.0,5.0
1,0.0518129147,0.002979146,8.4347375801,0.0837994552,16.0,4.0
1,0.0486856419,0.0,13.456191312,0.1340750567,12.0,1.0
1,0.0400980726,0.0009930487,8.9429972776,0.0890190616,1.0,2.0
1,0.0439991471,0.005958292,10.0775412504,0.1002758381,6.0,7.0
1,0.0698345166,0.0049652433,9.1304762579,0.090556765,39.0,6.0
1,0.0400980726,0.0009930487,9.4835762019,0.0944248508,1.0,2.0
1,0.0541598272,0.0089374379,8.2229710747,0.0815987381,19.0,10.0
1,0.3468517051,0.0238331678,8.9357919528,0.0856510708,388.0,25.0
1,0.1305165463,0.0009930487,11.8984819899,0.1176697239,116.0,2.0
1,0.0408779567,0.0039721946,8.4742124741,0.0842936232,2.0,5.0
1,0.0494672463,0.0009930487,8.9778825389,0.0892742224,13.0,2.0
1,0.0432186062,0.0049652433,9.708316993,0.0966013314,5.0,6.0
1,0.0800463296,0.0089374379,8.5963053475,0.0850732158,52.0,10.0
1,0.133679574,0.0079443893,8.8396555338,0.0869803157,120.0,9.0
1,0.0541598272,0.0009930487,10.6950460562,0.1063989318,19.0,2.0
1,0.0729748283,0.005958292,10.1020369123,0.1002310379,43.0,7.0
1,0.052595083,0.0019860973,8.2040116975,0.0814943052,17.0,3.0
2,0.1179451803,0.0074478649,7.342335303,0.0721694226,96.0,8.5
1,0.0400980726,0.0009930487,7.9940455373,0.0795295442,1.0,2.0
2,0.038697254,0.005958292,8.982091503,0.0893743596,22.0,7.0
1,0.067480384,0.0089374379,9.4139486257,0.093375308,36.0,10.0
1,0.0486856419,0.0009930487,8.1637926524,0.0811411396,12.0,2.0
1,0.2225224262,0.0188679245,8.8474402393,0.0860604989,232.0,20.0
3,0.1643043952,0.0033101622,8.0207909349,0.0785317638,132.3333333333,4.3333333333
2,0.186407126,0.004468719,9.9868598972,0.0979598405,159.5,5.5
2,0.0238290651,0.0039721946,8.9507190257,0.0892291777,8.0,5.0
1,0.5837424907,0.0089374379,7.5120065101,0.0691932658,684.0,10.0
1,0.0471228723,0.002979146,8.7479511715,0.0869784915,10.0,4.0
1,0.0416580086,0.0089374379,12.3190809046,0.1226848546,3.0,10.0
1,0.0627750888,0.0039721946,45.9042343699,0.4583748709,30.0,5.0
1,0.0471228723,0.0,8.821990712,0.0877486784,10.0,1.0
1,0.0596405365,0.002979146,9.2945255638,0.0923190588,26.0,4.0
1,0.0424382259,0.0019860973,10.2429577596,0.1019853344,4.0,3.0
1,0.0635590213,0.0019860973,9.0732162145,0.090076711,31.0,3.0
2,0.1502539901,0.0089374379,8.744654857,0.0858546343,126.0,10.0
2,0.1071931285,0.005958292,7.3844291424,0.0727127772,86.0,7.0
1,0.0463417111,0.0039721946,9.5986129221,0.0954829902,9.0,5.0
1,0.0965744418,0.0089374379,10.8235580043,0.1071804612,73.0,10.0
1,0.052595083,0.0,8.6624352466,0.0860984016,17.0,1.0
1,0.142382182,0.0079443893,10.1812779739,0.100309514,131.0,9.0
1,0.0580739868,0.0019860973,10.1676987898,0.1010763871,24.0,3.0
1,0.1170836597,0.0009930487,8.6110679647,0.0849299126,99.0,2.0
1,0.0393183588,1.0,10.1205939212,0.0908127556,0.0,1008.0
1,0.1431736287,0.0079443893,7.7373413466,0.0758622333,132.0,9.0
1,0.1502988016,0.0089374379,10.6728688643,0.1051363262,141.0,10.0
1,0.1368434451,0.0089374379,10.7879171979,0.1064213631,124.0,10.0
2,0.1045066951,0.0064548163,7.4742779585,0.0736331645,83.5,7.5
1,0.1036685301,0.0089374379,9.4354148774,0.0932280891,82.0,10.0
1,0.0432186062,0.002979146,7.337739723,0.0729154197,5.0,4.0
1,0.0447798464,0.0009930487,11.4119556706,0.1136618278,7.0,2.0
1,0.0432186062,0.0009930487,8.4546108413,0.0841039919,5.0,2.0
1,0.0635590213,0.0089374379,9.8873180571,0.098148216,31.0,10.0
1,0.0612075743,0.002979146,7.7234700379,0.0765928332,28.0,4.0
2,0.0488178185,0.0034756703,9.3618146554,0.0930952117,31.5,4.5
1,0.0808325245,0.0089374379,13.2180631894,0.1312829323,53.0,10.0
2,0.3331544061,0.0089374379,9.5144468723,0.0917235503,295.0,10.0
1,0.0408779567,0.005958292,8.1059905028,0.0805915425,2.0,7.0
1,0.0533773878,0.0,12.0594195256,0.1200604214,18.0,1.0
1,0.0502489945,0.0019860973,7.4439597602,0.0739172467,14.0,3.0
1,0.0541598272,0.0089374379,9.6816919683,0.096185947,19.0,10.0
1,0.067480384,0.002979146,7.5207858374,0.0745032631,36.0,4.0
1,0.1637674608,0.0039721946,9.5705902003,0.0940285054,158.0,5.0
1,0.0408779567,0.0,10.0272294496,0.0998635149,2.0,1.0
1,0.2193419614,0.0089374379,13.6569768716,0.1342869747,228.0,10.0
1,0.1574276988,0.005958292,9.0467307576,0.0888334477,150.0,7.0
1,0.0447798464,0.002979146,8.1716010663,0.0812384207,7.0,4.0
